% Edge sensor logfile log_20240205_151105.027/log_edge.txt
% 	Calib white 1000 1000 1000 1000 1000 1000 1000 1000
% 	Calib black 316 387 395 402 400 400 366 305
% 	White threshold (of 1000) 700 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1707142265.6719 0 0.000 0.000 0.0000
1707142265.6804 0 0.000 0.000 0.0000
1707142265.6873 0 0.000 0.000 0.0000
1707142265.6951 0 0.000 0.000 0.0000
1707142265.7040 0 0.000 0.000 0.0000
1707142265.7116 0 0.000 0.000 0.0000
1707142265.7201 0 0.000 0.000 0.0000
1707142265.7275 0 0.000 0.000 0.0000
1707142265.7365 0 0.000 0.000 0.0000
1707142265.7440 0 0.000 0.000 0.0000
1707142265.7516 0 0.000 0.000 0.0000
1707142265.7603 0 0.000 0.000 0.0000
1707142265.7677 0 0.000 0.000 0.0000
1707142265.7758 0 0.000 0.000 0.0000
1707142265.7844 0 0.000 0.000 0.0000
1707142265.7918 0 0.000 0.000 0.0000
1707142265.7994 0 0.000 0.000 0.0000
1707142265.8080 0 0.000 0.000 0.0000
1707142265.8154 0 0.000 0.000 0.0000
1707142265.8234 0 0.000 0.000 0.0000
1707142265.8319 0 0.000 0.000 0.0000
1707142265.8394 0 0.000 0.000 0.0000
1707142265.8474 0 0.000 0.000 0.0000
1707142265.8565 0 0.000 0.000 0.0000
1707142265.8640 0 0.000 0.000 0.0000
1707142265.8716 0 0.000 0.000 0.0000
1707142265.8800 0 0.000 0.000 0.0000
1707142265.8876 0 0.000 0.000 0.0000
1707142265.8955 0 0.000 0.000 0.0000
1707142265.9043 0 0.000 0.000 0.0000
1707142265.9117 0 0.000 0.000 0.0000
1707142265.9196 0 0.000 0.000 0.0000
1707142265.9285 0 0.000 0.000 0.0000
1707142265.9360 0 0.000 0.000 0.0000
1707142265.9438 0 0.000 0.000 0.0000
1707142265.9526 0 0.000 0.000 0.0000
1707142265.9591 0 0.000 0.000 0.0000
1707142265.9681 0 0.000 0.000 0.0000
1707142265.9765 0 0.000 0.000 0.0000
1707142265.9831 0 0.000 0.000 0.0000
1707142265.9919 0 0.000 0.000 0.0000
1707142266.0006 0 0.000 0.000 0.0000
