% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708350276.5271 0 0 0 0
1708350276.5359 0 0 0 0
1708350276.5425 0 0 0 0
1708350276.5501 0 0 0 0
1708350276.5584 0 0 0 0
1708350276.5666 0 0 0 0
1708350276.5747 0 0 0 0
1708350276.5828 0 0 0 0
1708350276.5906 0 0 0 0
1708350276.5985 0 0 0 0
1708350276.6068 0 0 0 0
1708350276.6142 0 0 0 0
1708350276.6220 0 0 0 0
1708350276.6304 0 0 0 0
1708350276.6380 0 0 0 0
1708350276.6467 0 1 0 1
1708350276.6546 2 3 2 2
1708350276.6622 5 5 3 2
1708350276.6705 8 6 3 1
1708350276.6807 9 8 1 2
1708350276.6861 12 10 3 2
1708350276.6941 15 13 3 3
1708350276.7027 17 17 2 4
1708350276.7104 22 21 5 4
1708350276.7182 27 25 5 4
1708350276.7272 31 30 4 5
1708350276.7349 37 35 6 5
1708350276.7433 42 41 5 6
1708350276.7507 48 47 6 6
1708350276.7580 54 53 6 6
1708350276.7728 60 59 6 6
1708350276.7798 66 65 6 6
1708350276.7866 73 72 7 7
1708350276.7926 81 79 8 7
1708350276.8007 86 85 5 6
1708350276.8076 90 89 4 4
1708350276.8145 95 94 5 5
1708350276.8227 102 102 7 8
1708350276.8304 111 109 9 7
1708350276.8417 117 115 6 6
1708350276.8468 122 120 5 5
1708350276.8550 127 126 5 6
1708350276.8645 134 132 7 6
1708350276.8707 141 139 7 7
1708350276.8790 149 146 8 7
1708350276.8880 154 151 5 5
1708350276.8946 158 156 4 5
1708350276.9020 164 163 6 7
1708350276.9109 171 169 7 6
1708350276.9187 178 175 7 6
1708350276.9263 184 182 6 7
1708350276.9349 191 188 7 6
1708350276.9423 196 193 5 5
1708350276.9506 201 199 5 6
1708350276.9590 208 206 7 7
1708350276.9667 215 212 7 6
1708350276.9745 221 218 6 6
1708350276.9821 227 224 6 6
1708350276.9908 233 231 6 7
1708350276.9990 240 237 7 6
1708350277.0069 247 244 7 7
1708350277.0140 253 252 6 8
1708350277.0220 259 258 6 6
1708350277.0300 265 262 6 4
1708350277.0399 271 268 6 6
1708350277.0463 279 277 8 9
1708350277.0545 286 285 7 8
1708350277.0630 290 290 4 5
1708350277.0705 295 294 5 4
1708350277.0789 304 301 9 7
1708350277.0868 312 310 8 9
1708350277.0946 318 317 6 7
1708350277.1042 323 322 5 5
1708350277.1105 328 326 5 4
1708350277.1191 335 332 7 6
1708350277.1297 342 341 7 9
1708350277.1386 348 350 6 9
1708350277.1462 354 356 6 6
1708350277.1509 361 360 7 4
1708350277.1588 368 365 7 5
1708350277.1661 373 371 5 6
1708350277.1746 377 378 4 7
1708350277.1826 382 384 5 6
1708350277.1910 390 389 8 5
1708350277.2021 399 395 9 6
1708350277.2083 405 402 6 7
1708350277.2150 411 410 6 8
1708350277.2225 415 416 4 6
1708350277.2317 420 419 5 3
1708350277.2391 427 424 7 5
1708350277.2511 436 432 9 8
1708350277.2577 443 441 7 9
1708350277.2620 449 448 6 7
1708350277.2707 453 452 4 4
1708350277.2788 457 455 4 3
1708350277.2866 463 460 6 5
1708350277.2945 472 469 9 9
1708350277.3029 479 477 7 8
1708350277.3101 483 481 4 4
1708350277.3180 488 485 5 4
1708350277.3263 495 491 7 6
1708350277.3343 503 500 8 9
1708350277.3427 510 506 7 6
1708350277.3500 515 510 5 4
1708350277.3586 519 516 4 6
1708350277.3667 526 522 7 6
1708350277.3742 534 530 8 8
1708350277.3825 541 536 7 6
1708350277.3901 545 541 4 5
1708350277.3995 550 548 5 7
1708350277.4069 558 556 8 8
1708350277.4141 565 562 7 6
1708350277.4225 570 566 5 4
1708350277.4300 574 571 4 5
1708350277.4387 580 579 6 8
1708350277.4461 588 587 8 8
1708350277.4545 596 593 8 6
1708350277.4627 601 598 5 5
1708350277.4707 606 605 5 7
1708350277.4788 612 613 6 8
1708350277.4863 619 619 7 6
1708350277.4948 627 624 8 5
1708350277.5022 634 629 7 5
1708350277.5099 638 637 4 8
1708350277.5181 643 644 5 7
1708350277.5261 649 650 6 6
1708350277.5345 657 656 8 6
1708350277.5427 663 664 6 8
1708350277.5593 667 671 4 7
1708350277.5635 672 678 5 7
1708350277.5664 679 685 7 7
1708350277.5742 685 692 6 7
1708350277.5820 686 693 1 1
1708350277.5909 687 698 1 5
1708350277.5983 692 708 5 10
1708350277.6062 699 718 7 10
1708350277.6145 704 724 5 6
1708350277.6219 707 729 3 5
1708350277.6301 709 736 2 7
1708350277.6383 715 745 6 9
1708350277.6467 720 754 5 9
1708350277.6548 723 760 3 6
1708350277.6627 725 766 2 6
1708350277.6702 730 775 5 9
1708350277.6787 736 784 6 9
1708350277.6873 740 789 4 5
1708350277.6939 742 797 2 8
1708350277.7022 745 805 3 8
1708350277.7103 751 811 6 6
1708350277.7188 756 820 5 9
1708350277.7268 760 829 4 9
1708350277.7351 763 838 3 9
1708350277.7427 766 846 3 8
1708350277.7511 771 854 5 8
1708350277.7599 778 863 7 9
1708350277.7661 782 871 4 8
1708350277.7741 784 879 2 8
1708350277.7823 788 885 4 6
1708350277.7905 794 892 6 7
1708350277.7984 801 902 7 10
1708350277.8067 806 912 5 10
1708350277.8142 809 919 3 7
1708350277.8221 813 925 4 6
1708350277.8304 820 932 7 7
1708350277.8383 827 941 7 9
1708350277.8462 831 950 4 9
1708350277.8550 835 957 4 7
1708350277.8627 840 964 5 7
1708350277.8701 848 971 8 7
1708350277.8786 854 979 6 8
1708350277.8860 858 985 4 6
1708350277.8949 863 992 5 7
1708350277.9032 869 999 6 7
1708350277.9106 877 1008 8 9
1708350277.9180 883 1015 6 7
1708350277.9277 886 1020 3 5
1708350277.9347 891 1025 5 5
1708350277.9427 898 1033 7 8
1708350277.9512 906 1041 8 8
1708350277.9585 911 1048 5 7
1708350277.9660 915 1053 4 5
1708350277.9756 921 1058 6 5
1708350277.9830 929 1065 8 7
1708350277.9906 937 1073 8 8
1708350277.9992 941 1079 4 6
1708350278.0065 945 1084 4 5
1708350278.0147 951 1090 6 6
1708350278.0231 960 1097 9 7
1708350278.0305 968 1103 8 6
1708350278.0387 973 1108 5 5
1708350278.0473 977 1114 4 6
1708350278.0549 983 1120 6 6
1708350278.0628 992 1127 9 7
1708350278.0714 1001 1133 9 6
1708350278.0787 1007 1137 6 4
1708350278.0865 1011 1142 4 5
1708350278.0947 1017 1149 6 7
1708350278.1021 1027 1157 10 8
1708350278.1106 1036 1162 9 5
1708350278.1201 1042 1165 6 3
1708350278.1264 1045 1168 3 3
1708350278.1342 1049 1172 4 4
1708350278.1427 1058 1179 9 7
1708350278.1509 1069 1186 11 7
1708350278.1590 1076 1192 7 6
1708350278.1674 1081 1196 5 4
1708350278.1747 1088 1199 7 3
1708350278.1829 1097 1205 9 6
1708350278.1910 1105 1212 8 7
1708350278.1985 1111 1218 6 6
1708350278.2063 1118 1221 7 3
1708350278.2146 1126 1225 8 4
1708350278.2221 1135 1232 9 7
1708350278.2313 1142 1240 7 8
1708350278.2397 1148 1246 6 6
1708350278.2460 1155 1250 7 4
1708350278.2550 1164 1254 9 4
1708350278.2638 1172 1260 8 6
1708350278.2700 1178 1269 6 9
1708350278.2784 1186 1276 8 7
1708350278.2873 1194 1279 8 3
1708350278.2945 1203 1282 9 3
1708350278.3021 1210 1289 7 7
1708350278.3121 1215 1296 5 7
1708350278.3189 1222 1302 7 6
1708350278.3269 1231 1306 9 4
1708350278.3356 1240 1309 9 3
1708350278.3426 1247 1315 7 6
1708350278.3501 1252 1322 5 7
1708350278.3587 1259 1328 7 6
1708350278.3664 1268 1331 9 3
1708350278.3741 1277 1335 9 4
1708350278.3832 1284 1342 7 7
1708350278.3908 1290 1349 6 7
1708350278.3982 1297 1354 7 5
1708350278.4076 1306 1359 9 5
1708350278.4146 1314 1362 8 3
1708350278.4225 1321 1367 7 5
1708350278.4310 1326 1374 5 7
1708350278.4381 1333 1380 7 6
1708350278.4461 1342 1385 9 5
1708350278.4557 1349 1388 7 3
1708350278.4628 1356 1392 7 4
1708350278.4708 1363 1399 7 7
1708350278.4808 1372 1405 9 6
1708350278.4863 1380 1410 8 5
1708350278.4945 1387 1413 7 3
1708350278.5034 1392 1416 5 3
1708350278.5101 1399 1421 7 5
1708350278.5182 1409 1428 10 7
1708350278.5275 1418 1434 9 6
1708350278.5344 1424 1438 6 4
1708350278.5429 1431 1441 7 3
1708350278.5508 1440 1446 9 5
