% Edge logfile: log_20240224_121232.089/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1708773152.9346 2 1 0.0000 0.0280 1.3831 0
1708773152.9418 2 1 0.0000 0.0275 1.3243 0
1708773152.9499 2 1 0.0000 0.0279 1.3111 0
1708773152.9580 2 1 0.0000 0.0275 1.2616 0
1708773152.9665 2 1 0.0000 0.0281 1.2620 0
1708773152.9756 2 1 0.0000 0.0272 1.1891 0
1708773152.9821 2 1 0.0000 0.0267 1.1405 0
1708773152.9903 2 1 0.0000 0.0265 1.1083 0
1708773152.9977 2 1 0.0000 0.0271 1.1117 0
1708773153.0067 2 1 0.0000 0.0278 1.1258 0
1708773153.0147 2 1 0.0000 0.0274 1.0883 0
1708773153.0220 2 1 0.0000 0.0271 1.0535 0
1708773153.0305 2 1 0.0000 0.0278 1.0664 0
1708773153.0379 2 1 0.0000 0.0281 1.0657 0
1708773153.0465 2 1 0.0000 0.0279 1.0376 0
1708773153.0541 2 1 0.0000 0.0276 1.0062 0
1708773153.0618 2 1 0.0000 0.0273 0.9773 0
1708773153.0705 2 1 0.0000 0.0278 0.9885 0
1708773153.0780 2 1 0.0000 0.0274 0.9573 0
1708773153.0858 2 1 0.0000 0.0277 0.9568 0
1708773153.0941 2 1 0.0000 0.0269 0.9063 0
1708773153.1019 2 1 0.0000 0.0000 0.0000 0
1708773153.1107 2 1 0.0000 0.0000 0.0000 0
1708773153.1179 2 1 0.0000 0.0096 0.0434 0
1708773153.1264 2 1 0.0000 0.0203 0.5809 0
1708773153.1340 2 1 0.0000 0.0145 0.2924 0
1708773153.1426 2 1 0.0000 0.0175 0.4444 0
1708773153.1500 2 1 0.0000 0.0171 0.4247 0
1708773153.1587 2 1 0.0000 0.0150 0.3258 0
1708773153.1667 2 1 0.0000 0.0152 0.3397 0
1708773153.1751 2 1 0.0000 0.0145 0.3070 0
1708773153.1825 2 1 0.0000 0.0137 0.2693 0
1708773153.1907 2 1 0.0000 0.0128 0.2307 0
1708773153.1978 2 1 0.0000 0.0139 0.2931 0
1708773153.2063 2 1 0.0000 0.0146 0.3298 0
1708773153.2143 2 1 0.0000 0.0134 0.2727 0
1708773153.2228 2 1 0.0000 0.0122 0.2189 0
1708773153.2298 2 1 0.0000 0.0124 0.2371 0
1708773153.2387 2 1 0.0000 0.0119 0.2186 0
1708773153.2462 2 1 0.0000 0.0114 0.1953 0
1708773153.2547 2 1 0.0000 0.0101 0.1379 0
1708773153.2619 2 1 0.0000 0.0095 0.1169 0
1708773153.2699 2 1 0.0000 0.0034 -0.1760 0
1708773153.2778 2 1 0.0000 -0.0030 -0.4769 0
1708773153.2861 2 1 0.0000 0.0011 -0.2548 0
1708773153.2944 2 1 0.0000 0.0010 -0.2456 0
1708773153.3020 2 1 0.0000 -0.0008 -0.3159 0
1708773153.3098 2 1 0.0000 -0.0011 -0.3165 0
1708773153.3186 2 1 0.0000 -0.0003 -0.2617 0
