% Edge sensor logfile normalized 'log_20240224_141234.319/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708780354.6816 35 110 515 785 570 204 31 29  0.0122
1708780354.6902 13 45 396 763 725 333 27 2  0.0212
1708780354.6963 44 55 419 806 775 360 34 11  0.0249
1708780354.7044 62 71 466 878 840 403 53 54  0.0300
1708780354.7131 13 47 396 749 726 292 29 69  0.0205
1708780354.7212 20 73 419 825 780 316 27 49  0.0254
1708780354.7283 58 62 435 853 817 386 56 69  0.0281
1708780354.7374 31 34 405 780 754 329 53 22  0.0230
1708780354.7443 4 23 359 707 655 277 5 0  0.0027
1708780354.7526 40 33 383 742 693 333 27 0  0.0167
1708780354.7602 49 47 415 790 732 341 47 51  0.0227
1708780354.7685 15 22 339 658 593 292 29 0  0.0000
1708780354.7766 46 78 390 682 636 307 32 0  0.0000
1708780354.7847 49 93 415 724 664 341 60 11  0.0082
1708780354.7928 4 47 330 560 499 267 31 9  0.0000
1708780354.8010 6 75 343 588 528 250 40 15  0.0000
1708780354.8088 24 89 392 641 579 287 47 49  0.0000
1708780354.8169 0 62 307 493 422 192 10 4  0.0000
1708780354.8251 6 100 350 547 483 207 29 9  0.0000
1708780354.8333 22 111 406 597 526 243 31 33  0.0000
1708780354.8405 0 71 311 468 380 147 1 0  0.0000
1708780354.8487 26 122 374 534 438 175 23 15  0.0000
1708780354.8567 37 157 432 601 499 231 53 63  0.0000
1708780354.8650 0 115 334 461 363 147 14 0  0.0000
1708780354.8731 20 133 399 482 405 170 23 0  0.0000
1708780354.8807 20 172 452 574 464 181 31 49  0.0000
1708780354.8889 0 119 356 452 330 110 3 0  0.0000
1708780354.8990 26 170 446 547 391 127 18 9  0.0000
1708780354.9050 35 203 515 614 441 173 29 18  0.0000
1708780354.9147 0 161 453 538 363 98 7 0  0.0000
1708780354.9211 20 218 547 635 406 95 25 27  0.0000
1708780354.9283 49 245 636 747 457 144 29 67  0.0100
1708780354.9364 20 222 627 731 436 105 12 18  0.0069
1708780354.9451 0 216 623 749 413 78 25 22  0.0092
1708780354.9523 33 240 721 853 459 76 34 20  0.0245
1708780354.9606 42 267 819 949 492 79 31 13  0.0302
1708780354.9686 26 280 761 871 427 56 29 15  0.0259
1708780354.9806 40 282 795 885 443 62 38 27  0.0275
1708780354.9845 49 308 802 888 473 69 27 51  0.0284
