% Edge sensor logfile log_20240308_171715.252/log_edge.txt
% 	Calib white 466 563 571 595 596 609 566 464
% 	Calib black 18 18 18 21 21 21 20 21
% 	White threshold (of 1000) 500 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1709914635.9645 0 0.000 0.000 0.0000
1709914635.9715 1 0.075 -0.063 0.1372
1709914635.9796 1 0.073 -0.060 0.1329
1709914635.9877 1 0.073 -0.060 0.1339
1709914635.9954 1 0.075 -0.063 0.1379
1709914636.0035 1 0.075 -0.062 0.1367
1709914636.0117 1 0.073 -0.062 0.1352
1709914636.0199 1 0.075 -0.061 0.1354
1709914636.0269 1 0.077 -0.064 0.1407
1709914636.0350 1 0.077 -0.066 0.1423
1709914636.0432 1 0.074 -0.062 0.1362
1709914636.0519 1 0.075 -0.062 0.1369
1709914636.0590 1 0.075 -0.061 0.1362
1709914636.0677 1 0.071 -0.061 0.1313
1709914636.0759 1 0.076 -0.063 0.1388
1709914636.0828 1 0.074 -0.062 0.1367
1709914636.0918 1 0.070 -0.060 0.1301
1709914636.0990 1 0.077 -0.066 0.1429
1709914636.1073 1 0.078 -0.065 0.1429
1709914636.1156 1 0.074 -0.061 0.1350
1709914636.1228 1 0.075 -0.060 0.1346
1709914636.1311 1 0.073 -0.058 0.1317
1709914636.1388 1 0.073 -0.059 0.1321
1709914636.1470 1 0.078 -0.065 0.1425
1709914636.1552 1 0.073 -0.063 0.1367
1709914636.1647 1 0.077 -0.060 0.1370
1709914636.1712 1 0.081 -0.066 0.1467
1709914636.1796 1 0.085 -0.064 0.1484
1709914636.1874 1 0.083 -0.062 0.1442
1709914636.1956 1 0.086 -0.060 0.1465
1709914636.2038 1 0.088 -0.058 0.1470
1709914636.2117 1 0.091 -0.056 0.1468
1709914636.2195 1 0.092 -0.054 0.1467
1709914636.2277 1 0.096 -0.053 0.1490
1709914636.2357 1 0.098 -0.047 0.1448
1709914636.2429 1 0.102 -0.043 0.1450
1709914636.2510 1 0.106 -0.041 0.1465
1709914636.2588 1 0.107 -0.035 0.1423
1709914636.2678 1 0.112 -0.028 0.1396
1709914636.2750 1 0.115 -0.021 0.1358
1709914636.2828 1 0.121 -0.017 0.1385
1709914636.2909 1 0.131 -0.015 0.1463
1709914636.2994 1 0.136 -0.009 0.1445
1709914636.3072 1 0.143 -0.004 0.1472
1709914636.3162 1 0.156 0.000 0.1565
1709914636.3235 1 0.166 0.006 0.1603
1709914636.3314 1 0.174 0.013 0.1609
1709914636.3395 1 0.184 0.020 0.1639
1709914636.3479 1 0.191 0.032 0.1594
1709914636.3558 1 0.200 0.036 0.1636
1709914636.3631 1 0.200 0.043 0.1573
1709914636.3711 1 0.200 0.049 0.1509
1709914636.3802 1 0.200 0.055 0.1445
1709914636.3875 1 0.200 0.062 0.1380
1709914636.3958 1 0.200 0.069 0.1312
1709914636.4039 1 0.200 0.076 0.1241
1709914636.4111 1 0.200 0.081 0.1189
1709914636.4192 1 0.200 0.087 0.1127
1709914636.4270 1 0.200 0.089 0.1115
1709914636.4354 1 0.200 0.091 0.1085
1709914636.4438 1 0.200 0.095 0.1046
1709914636.4514 1 0.200 0.097 0.1029
1709914636.4591 1 0.200 0.100 0.1001
1709914636.4671 1 0.200 0.101 0.0992
1709914636.4758 1 0.200 0.102 0.0985
1709914636.4830 1 0.200 0.105 0.0954
1709914636.4912 1 0.200 0.107 0.0931
1709914636.4992 1 0.200 0.107 0.0934
1709914636.5075 1 0.200 0.108 0.0925
1709914636.5163 1 0.200 0.106 0.0935
1709914636.5232 1 0.200 0.104 0.0965
1709914636.5317 1 0.200 0.104 0.0958
1709914636.5389 1 0.200 0.101 0.0992
1709914636.5478 1 0.200 0.097 0.1031
1709914636.5550 1 0.200 0.097 0.1035
1709914636.5631 1 0.200 0.093 0.1072
1709914636.5716 1 0.200 0.088 0.1123
1709914636.5789 1 0.200 0.086 0.1139
1709914636.5872 1 0.200 0.081 0.1192
1709914636.5951 1 0.200 0.075 0.1246
1709914636.6034 1 0.200 0.072 0.1276
1709914636.6116 1 0.200 0.068 0.1322
1709914636.6191 1 0.200 0.064 0.1365
1709914636.6276 1 0.200 0.064 0.1364
1709914636.6349 1 0.200 0.061 0.1395
1709914636.6428 1 0.200 0.061 0.1393
1709914636.6509 1 0.200 0.059 0.1412
1709914636.6594 1 0.200 0.055 0.1455
1709914636.6671 1 0.200 0.050 0.1496
1709914636.6754 1 0.200 0.044 0.1559
1709914636.6837 1 0.190 0.037 0.1526
1709914636.6915 1 0.181 0.031 0.1499
1709914636.6996 1 0.175 0.023 0.1521
1709914636.7070 1 0.163 0.019 0.1441
1709914636.7155 1 0.152 0.015 0.1376
1709914636.7237 1 0.148 0.007 0.1413
1709914636.7309 1 0.137 0.001 0.1363
1709914636.7397 1 0.131 -0.003 0.1338
1709914636.7470 1 0.128 -0.010 0.1376
1709914636.7553 1 0.121 -0.018 0.1390
1709914636.7633 1 0.114 -0.026 0.1403
1709914636.7712 1 0.110 -0.038 0.1481
1709914636.7795 1 0.101 -0.047 0.1480
1709914636.7873 1 0.091 -0.058 0.1497
1709914636.7956 1 0.086 -0.069 0.1548
1709914636.8033 1 0.081 -0.075 0.1561
1709914636.8112 1 0.073 -0.080 0.1533
1709914636.8191 1 0.065 -0.089 0.1543
1709914636.8274 1 0.059 -0.097 0.1555
1709914636.8351 1 0.049 -0.102 0.1507
1709914636.8434 1 0.045 -0.108 0.1529
1709914636.8518 1 0.038 -0.114 0.1521
1709914636.8597 1 0.029 -0.117 0.1459
1709914636.8676 1 0.027 -0.123 0.1498
1709914636.8757 1 0.022 -0.131 0.1531
1709914636.8836 1 0.016 -0.134 0.1503
1709914636.8908 1 0.014 -0.135 0.1494
1709914636.8991 1 0.012 -0.140 0.1524
1709914636.9070 1 0.007 -0.138 0.1442
1709914636.9161 1 0.006 -0.145 0.1509
1709914636.9232 1 0.005 -0.147 0.1526
1709914636.9312 1 0.002 -0.145 0.1471
1709914636.9395 1 0.001 -0.147 0.1480
1709914636.9468 1 0.000 -0.151 0.1514
1709914636.9558 1 -0.000 -0.151 0.1510
1709914636.9631 1 -0.001 -0.147 0.1461
1709914636.9711 1 0.001 -0.146 0.1475
1709914636.9794 1 0.003 -0.143 0.1458
1709914636.9878 1 0.004 -0.140 0.1439
1709914636.9952 1 0.006 -0.139 0.1452
1709914637.0035 1 0.007 -0.135 0.1417
1709914637.0118 1 0.007 -0.134 0.1411
1709914637.0198 1 0.007 -0.129 0.1365
1709914637.0268 1 0.012 -0.131 0.1434
1709914637.0352 1 0.011 -0.127 0.1382
1709914637.0435 1 0.012 -0.124 0.1358
1709914637.0516 1 0.015 -0.121 0.1368
1709914637.0597 1 0.020 -0.118 0.1373
1709914637.0678 1 0.023 -0.112 0.1356
1709914637.0748 1 0.029 -0.109 0.1378
1709914637.0833 1 0.032 -0.105 0.1373
1709914637.0917 1 0.037 -0.101 0.1382
1709914637.0997 1 0.044 -0.097 0.1410
1709914637.1071 1 0.051 -0.090 0.1411
1709914637.1162 1 0.055 -0.082 0.1364
1709914637.1231 1 0.064 -0.078 0.1414
1709914637.1315 1 0.072 -0.073 0.1450
1709914637.1389 1 0.081 -0.066 0.1473
1709914637.1468 1 0.089 -0.060 0.1489
