% Edge logfile: log_20240308_171742.426/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1709914663.1074 2 0 0.0000 -0.0783 -3.8645 0
1709914663.1166 2 0 0.0000 -0.0795 -3.8262 0
1709914663.1242 2 0 0.0000 -0.0857 -4.0371 0
1709914663.1335 2 0 0.0000 -0.0791 -3.6152 0
1709914663.1405 2 0 0.0000 -0.0788 -3.5139 0
1709914663.1473 2 0 0.0000 -0.0780 -3.3945 0
1709914663.1555 2 0 0.0000 -0.0807 -3.4534 0
1709914663.1645 2 0 0.0000 -0.0794 -3.3150 0
1709914663.1721 2 0 0.0000 -0.0755 -3.0524 0
1709914663.1791 2 0 0.0000 -0.0779 -3.1158 0
1709914663.1888 2 0 0.0000 -0.0733 -2.8289 0
1709914663.1953 2 0 0.0000 -0.0735 -2.7877 0
1709914663.2034 2 0 0.0000 -0.0727 -2.6989 0
1709914663.2123 2 0 0.0000 -0.0676 -2.4003 0
1709914663.2199 2 0 0.0000 -0.0637 -2.1734 0
1709914663.2279 2 0 0.0000 -0.0605 -1.9851 0
1709914663.2364 2 0 0.0000 -0.0540 -1.6387 0
1709914663.2431 2 0 0.0000 -0.0477 -1.3161 0
1709914663.2521 2 0 0.0000 -0.0413 -0.9953 0
1709914663.2600 2 0 0.0000 -0.0353 -0.7014 0
1709914663.2675 2 0 0.0000 -0.0301 -0.4517 0
1709914663.2755 2 0 0.0000 -0.0217 -0.0545 0
1709914663.2842 2 0 0.0000 -0.0161 0.1982 0
1709914663.2918 2 0 0.0000 -0.0110 0.4139 0
1709914663.2997 2 0 0.0000 -0.0057 0.6393 0
1709914663.3085 2 0 0.0000 -0.0015 0.8100 0
1709914663.3152 2 0 0.0000 0.0058 1.1223 0
1709914663.3241 2 0 0.0000 0.0140 1.4787 0
1709914663.3327 2 0 0.0000 0.0196 1.6935 0
1709914663.3393 2 0 0.0000 0.0318 2.2359 0
1709914663.3472 2 0 0.0000 0.0418 2.6551 0
1709914663.3562 2 0 0.0000 0.0506 3.0051 0
1709914663.3639 2 0 0.0000 0.0614 3.4451 0
1709914663.3717 2 0 0.0000 0.0714 3.8388 0
1709914663.3807 2 0 0.0000 0.0771 4.0150 0
1709914663.3880 2 0 0.0000 0.0883 4.4625 0
1709914663.3962 2 0 0.0000 0.0928 4.5664 0
1709914663.4041 2 0 0.0000 0.0949 4.5526 0
1709914663.4118 2 0 0.0000 0.1033 4.8568 0
1709914663.4197 2 0 0.0000 0.1065 4.8974 0
1709914663.4278 2 0 0.0000 0.1085 4.8816 0
1709914663.4354 2 0 0.0000 0.1145 5.0624 0
1709914663.4431 2 0 0.0000 0.1147 4.9608 0
1709914663.4522 2 0 0.0000 0.1143 4.8347 0
1709914663.4600 2 0 0.0000 0.1173 4.8797 0
1709914663.4679 2 0 0.0000 0.1198 4.9016 0
1709914663.4759 2 0 0.0000 0.1165 4.6386 0
1709914663.4831 2 0 0.0000 0.1158 4.5175 0
1709914663.4920 2 0 0.0000 0.1166 4.4749 0
1709914663.4998 2 0 0.0000 0.1158 4.3546 0
1709914663.5075 2 0 0.0000 0.1171 4.3459 0
1709914663.5155 2 0 0.0000 0.1140 4.1196 0
1709914663.5245 2 0 0.0000 0.1113 3.9187 0
1709914663.5318 2 0 0.0000 0.1110 3.8471 0
1709914663.5398 2 0 0.0000 0.1080 3.6435 0
1709914663.5479 2 0 0.0000 0.1035 3.3763 0
1709914663.5555 2 0 0.0000 0.1038 3.3479 0
1709914663.5635 2 0 0.0000 0.0976 3.0074 0
1709914663.5725 2 0 0.0000 0.0952 2.8582 0
1709914663.5801 2 0 0.0000 0.0964 2.8921 0
1709914663.5876 2 0 0.0000 0.0873 2.4224 0
1709914663.5967 2 0 0.0000 0.0806 2.0777 0
1709914663.6033 2 0 0.0000 0.0785 1.9718 0
1709914663.6112 2 0 0.0000 0.0723 1.6656 0
1709914663.6203 2 0 0.0000 0.0685 1.4893 0
1709914663.6280 2 0 0.0000 0.0621 1.1849 0
1709914663.6353 2 0 0.0000 0.0562 0.9113 0
1709914663.6443 2 0 0.0000 0.0520 0.7331 0
1709914663.6521 2 0 0.0000 0.0449 0.4134 0
1709914663.6600 2 0 0.0000 0.0357 -0.0041 0
1709914663.6679 2 0 0.0000 0.0264 -0.4163 0
1709914663.6755 2 0 0.0000 0.0185 -0.7479 0
1709914663.6843 2 0 0.0000 0.0108 -1.0654 0
1709914663.6923 2 0 0.0000 0.0069 -1.1877 0
1709914663.7000 2 0 0.0000 -0.0004 -1.4767 0
1709914663.7083 2 0 0.0000 -0.0068 -1.7155 0
1709914663.7163 2 0 0.0000 -0.0152 -2.0485 0
1709914663.7240 2 0 0.0000 -0.0231 -2.3537 0
1709914663.7329 2 0 0.0000 -0.0334 -2.7697 0
1709914663.7409 2 0 0.0000 -0.0450 -3.2386 0
1709914663.7485 2 0 0.0000 -0.0554 -3.6458 0
1709914663.7565 2 0 0.0000 -0.0659 -4.0449 0
1709914663.7645 2 0 0.0000 -0.0742 -4.3312 0
1709914663.7722 2 0 0.0000 -0.0904 -5.0006 0
1709914663.7802 2 0 0.0000 -0.0995 -5.3085 0
1709914663.7889 2 0 0.0000 -0.1079 -5.5783 0
1709914663.7966 2 0 0.0000 -0.1182 -5.9350 0
1709914663.8045 2 0 0.0000 -0.1259 -6.1608 0
1709914663.8125 2 0 0.0000 -0.1322 -6.3169 0
1709914663.8202 2 0 0.0000 -0.1448 -6.7817 0
1709914663.8281 2 0 0.0000 -0.1506 -6.9071 0
1709914663.8369 2 0 0.0000 -0.1549 -6.9573 0
1709914663.8446 2 0 0.0000 -0.1635 -7.0000 1
1709914663.8524 2 0 0.0000 -0.1698 -7.0000 1
1709914663.8604 2 0 0.0000 -0.1705 -7.0000 1
1709914663.8682 2 0 0.0000 -0.1738 -7.0000 1
1709914663.8765 2 0 0.0000 -0.1777 -7.0000 1
1709914663.8845 2 0 0.0000 -0.1819 -7.0000 1
1709914663.8920 2 0 0.0000 -0.1875 -7.0000 1
1709914663.8999 2 0 0.0000 -0.1883 -7.0000 1
1709914663.9079 2 0 0.0000 -0.1851 -7.0000 1
1709914663.9167 2 0 0.0000 -0.1809 -6.7445 0
1709914663.9247 2 0 0.0000 -0.1846 -6.8121 0
1709914663.9324 2 0 0.0000 -0.1793 -6.4388 0
1709914663.9400 2 0 0.0000 -0.1782 -6.2825 0
1709914663.9479 2 0 0.0000 -0.1754 -6.0501 0
1709914663.9560 2 0 0.0000 -0.1729 -5.8412 0
1709914663.9648 2 0 0.0000 -0.1715 -5.6959 0
1709914663.9729 2 0 0.0000 -0.1691 -5.5057 0
1709914663.9816 2 0 0.0000 -0.1627 -5.1241 0
1709914663.9879 2 0 0.0000 -0.1577 -4.8242 0
1709914663.9960 2 0 0.0000 -0.1568 -4.7370 0
1709914664.0040 2 0 0.0000 -0.1529 -4.5021 0
1709914664.0128 2 0 0.0000 -0.1468 -4.1666 0
1709914664.0207 2 0 0.0000 -0.1429 -3.9467 0
1709914664.0290 2 0 0.0000 -0.1372 -3.6471 0
1709914664.0363 2 0 0.0000 -0.1339 -3.4772 0
1709914664.0442 2 0 0.0000 -0.1270 -3.1309 0
1709914664.0523 2 0 0.0000 -0.1228 -2.9278 0
1709914664.0600 2 0 0.0000 -0.1149 -2.5465 0
1709914664.0679 2 0 0.0000 -0.1084 -2.2401 0
1709914664.0760 2 0 0.0000 -0.1021 -1.9570 0
1709914664.0843 2 0 0.0000 -0.0977 -1.7735 0
1709914664.0921 2 0 0.0000 -0.0890 -1.3801 0
1709914664.1000 2 0 0.0000 -0.0835 -1.1533 0
1709914664.1087 2 0 0.0000 -0.0753 -0.7950 0
1709914664.1166 2 0 0.0000 -0.0666 -0.4229 0
1709914664.1244 2 0 0.0000 -0.0588 -0.1052 0
1709914664.1338 2 0 0.0000 -0.0466 0.4267 0
1709914664.1407 2 0 0.0000 -0.0358 0.8765 0
1709914664.1510 2 0 0.0000 -0.0300 1.0688 0
1709914664.1561 2 0 0.0000 -0.0183 1.5500 0
1709914664.1641 2 0 0.0000 -0.0105 1.8303 0
1709914664.1720 2 0 0.0000 -0.0053 1.9765 0
1709914664.1807 2 0 0.0000 0.0038 2.3160 0
1709914664.1882 2 0 0.0000 0.0126 2.6378 0
1709914664.1964 2 0 0.0000 0.0255 3.1500 0
1709914664.2042 2 0 0.0000 0.0386 3.6688 0
1709914664.2120 2 0 0.0000 0.0508 4.1319 0
1709914664.2199 2 0 0.0000 0.0618 4.5215 0
1709914664.2287 2 0 0.0000 0.0772 5.1283 0
1709914664.2363 2 0 0.0000 0.0945 5.8164 0
1709914664.2443 2 0 0.0000 0.1080 6.3040 0
1709914664.2519 2 0 0.0000 0.1231 6.8631 0
1709914664.2609 2 0 0.0000 0.1425 7.0000 1
1709914664.2687 2 0 0.0000 0.1660 7.0000 1
1709914664.2764 2 0 0.0000 0.1971 7.0000 1
