% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1710436710.1755 0 0 0 0
1710436710.1869 0 0 0 0
1710436710.1911 0 0 0 0
1710436710.1999 0 0 0 0
1710436710.2081 0 0 0 0
1710436710.2160 0 0 0 0
1710436710.2231 0 0 0 0
1710436710.2328 0 0 0 0
1710436710.2402 0 0 0 0
1710436710.2475 0 0 0 0
1710436710.2585 0 0 0 0
1710436710.2679 0 0 0 0
1710436710.2733 0 0 0 0
1710436710.2807 0 0 0 0
1710436710.2887 0 0 0 0
1710436710.2954 0 0 0 0
1710436710.3031 0 0 0 0
1710436710.3111 0 0 0 0
1710436710.3239 0 0 0 0
1710436710.3270 0 0 0 0
1710436710.3361 0 0 0 0
1710436710.3439 0 0 0 0
1710436710.3517 0 0 0 0
1710436710.3595 0 0 0 0
1710436710.3670 0 0 0 0
1710436710.3758 0 0 0 0
1710436710.3836 0 0 0 0
1710436710.3916 0 0 0 0
1710436710.3997 0 0 0 0
1710436710.4078 0 0 0 0
1710436710.4159 0 0 0 0
1710436710.4235 0 0 0 0
1710436710.4337 0 0 0 0
1710436710.4395 0 0 0 0
1710436710.4474 0 0 0 0
1710436710.4557 0 0 0 0
1710436710.4640 0 0 0 0
1710436710.4718 0 0 0 0
1710436710.4790 0 0 0 0
1710436710.4880 0 0 0 0
1710436710.4957 0 0 0 0
1710436710.5038 0 0 0 0
1710436710.5117 0 0 0 0
1710436710.5219 0 0 0 0
1710436710.5277 0 0 0 0
1710436710.5357 0 0 0 0
1710436710.5434 0 0 0 0
1710436710.5514 0 0 0 0
1710436710.5591 0 0 0 0
1710436710.5679 0 0 0 0
1710436710.5750 0 0 0 0
1710436710.5829 0 0 0 0
1710436710.5918 0 0 0 0
1710436710.5998 0 0 0 0
1710436710.6079 0 0 0 0
1710436710.6155 0 0 0 0
1710436710.6239 0 0 0 0
1710436710.6319 0 0 0 0
1710436710.6390 0 0 0 0
1710436710.6470 0 0 0 0
1710436710.6554 0 0 0 0
1710436710.6639 0 0 0 0
1710436710.6719 0 0 0 0
1710436710.6800 0 0 0 0
1710436710.6875 0 0 0 0
1710436710.6955 0 0 0 0
1710436710.7057 0 0 0 0
1710436710.7112 0 0 0 0
1710436710.7193 0 0 0 0
1710436710.7277 0 0 0 0
1710436710.7352 0 0 0 0
1710436710.7435 0 0 0 0
1710436710.7510 0 0 0 0
1710436710.7600 0 0 0 0
1710436710.7674 0 0 0 0
1710436710.7754 0 0 0 0
1710436710.7834 0 0 0 0
1710436710.7912 0 0 0 0
1710436710.7990 0 0 0 0
1710436710.8087 0 0 0 0
1710436710.8155 0 0 0 0
1710436710.8238 0 0 0 0
1710436710.8324 0 0 0 0
1710436710.8394 0 0 0 0
1710436710.8473 0 0 0 0
1710436710.8551 0 0 0 0
1710436710.8634 0 0 0 0
1710436710.8715 0 0 0 0
1710436710.8793 0 0 0 0
1710436710.8873 0 0 0 0
1710436710.8955 0 0 0 0
1710436710.9033 0 0 0 0
1710436710.9118 0 0 0 0
1710436710.9190 0 0 0 0
1710436710.9279 0 0 0 0
1710436710.9358 0 0 0 0
1710436710.9440 0 0 0 0
1710436710.9517 0 0 0 0
1710436710.9607 0 0 0 0
1710436710.9675 0 0 0 0
1710436710.9754 0 0 0 0
1710436710.9927 0 0 0 0
1710436710.9948 0 0 0 0
1710436711.0001 0 0 0 0
1710436711.0076 0 0 0 0
1710436711.0154 0 0 0 0
1710436711.0230 0 0 0 0
1710436711.0317 0 0 0 0
1710436711.0395 0 0 0 0
1710436711.0471 0 0 0 0
1710436711.0557 0 0 0 0
1710436711.0635 0 0 0 0
1710436711.0711 0 0 0 0
1710436711.0792 0 0 0 0
1710436711.0877 0 0 0 0
1710436711.0951 0 0 0 0
1710436711.1030 0 0 0 0
1710436711.1118 0 0 0 0
1710436711.1196 0 0 0 0
1710436711.1273 0 0 0 0
1710436711.1357 0 0 0 0
1710436711.1430 0 0 0 0
1710436711.1518 0 0 0 0
1710436711.1594 0 0 0 0
1710436711.1676 0 0 0 0
1710436711.1754 0 0 0 0
1710436711.1832 0 0 0 0
1710436711.1918 0 0 0 0
1710436711.1996 0 0 0 0
1710436711.2075 0 0 0 0
1710436711.2150 0 0 0 0
1710436711.2239 0 0 0 0
1710436711.2321 0 0 0 0
1710436711.2397 0 0 0 0
1710436711.2476 0 0 0 0
1710436711.2562 0 0 0 0
1710436711.2639 0 0 0 0
1710436711.2718 0 0 0 0
1710436711.2794 0 0 0 0
1710436711.2877 0 0 0 0
1710436711.2956 0 0 0 0
1710436711.3034 0 0 0 0
1710436711.3110 0 0 0 0
1710436711.3197 0 0 0 0
1710436711.3274 0 0 0 0
1710436711.3357 0 0 0 0
1710436711.3440 0 0 0 0
1710436711.3519 0 0 0 0
1710436711.3597 0 0 0 0
1710436711.3673 0 0 0 0
1710436711.3751 0 0 0 0
1710436711.3836 0 0 0 0
1710436711.3913 0 0 0 0
1710436711.3991 0 0 0 0
1710436711.4081 0 0 0 0
1710436711.4156 0 0 0 0
1710436711.4236 0 0 0 0
1710436711.4320 0 0 0 0
1710436711.4398 0 0 0 0
1710436711.4476 0 0 0 0
1710436711.4551 0 0 0 0
1710436711.4640 0 0 0 0
1710436711.4718 0 0 0 0
1710436711.4794 0 0 0 0
1710436711.4877 0 0 0 0
1710436711.4955 0 0 0 0
1710436711.5039 0 0 0 0
1710436711.5117 0 0 0 0
1710436711.5194 0 0 0 0
1710436711.5280 0 0 0 0
1710436711.5352 0 0 0 0
1710436711.5439 0 0 0 0
1710436711.5513 0 0 0 0
1710436711.5590 0 0 0 0
1710436711.5678 0 0 0 0
1710436711.5753 0 0 0 0
1710436711.5857 0 0 0 0
1710436711.5920 0 0 0 0
1710436711.5996 0 0 0 0
1710436711.6073 0 0 0 0
1710436711.6149 0 0 0 0
1710436711.6236 0 0 0 0
1710436711.6320 0 0 0 0
1710436711.6398 0 0 0 0
1710436711.6474 0 0 0 0
1710436711.6555 0 0 0 0
1710436711.6631 0 0 0 0
1710436711.6718 0 0 0 0
1710436711.6805 0 0 0 0
1710436711.6904 0 0 0 0
1710436711.6959 0 0 0 0
1710436711.7039 0 0 0 0
1710436711.7119 0 0 0 0
1710436711.7198 0 0 0 0
1710436711.7278 0 0 0 0
1710436711.7354 0 0 0 0
1710436711.7432 0 0 0 0
1710436711.7514 0 0 0 0
1710436711.7597 0 0 0 0
1710436711.7677 0 0 0 0
1710436711.7756 0 0 0 0
1710436711.7830 0 0 0 0
1710436711.7911 0 0 0 0
1710436711.7996 0 0 0 0
1710436711.8077 0 0 0 0
1710436711.8152 0 0 0 0
1710436711.8233 0 0 0 0
1710436711.8321 0 0 0 0
1710436711.8399 0 0 0 0
1710436711.8481 0 0 0 0
1710436711.8561 0 0 0 0
1710436711.8640 0 0 0 0
1710436711.8720 0 0 0 0
1710436711.8799 0 0 0 0
1710436711.8875 0 0 0 0
1710436711.8955 0 0 0 0
1710436711.9035 0 0 0 0
1710436711.9111 0 0 0 0
1710436711.9194 0 0 0 0
1710436711.9274 0 0 0 0
1710436711.9360 0 0 0 0
1710436711.9441 0 0 0 0
1710436711.9520 0 0 0 0
1710436711.9600 0 0 0 0
1710436711.9671 0 0 0 0
1710436711.9753 0 0 0 0
1710436711.9928 0 0 0 0
1710436711.9950 0 0 0 0
1710436711.9996 0 0 0 0
1710436712.0073 0 0 0 0
1710436712.0179 0 0 0 0
1710436712.0235 0 0 0 0
1710436712.0322 0 0 0 0
1710436712.0401 0 0 0 0
1710436712.0471 0 0 0 0
1710436712.0559 0 0 0 0
1710436712.0631 0 0 0 0
1710436712.0712 0 0 0 0
1710436712.0803 0 0 0 0
1710436712.0876 0 0 0 0
1710436712.0950 0 0 0 0
1710436712.1049 0 0 0 0
1710436712.1120 0 0 0 0
1710436712.1199 0 0 0 0
1710436712.1272 0 0 0 0
1710436712.1354 0 0 0 0
1710436712.1436 0 0 0 0
1710436712.1516 0 0 0 0
1710436712.1592 0 0 0 0
1710436712.1672 0 0 0 0
1710436712.1754 0 0 0 0
1710436712.1831 0 0 0 0
1710436712.1912 0 0 0 0
1710436712.2043 0 0 0 0
1710436712.2077 0 0 0 0
1710436712.2161 1 2 1 2
1710436712.2238 9 8 8 6
1710436712.2326 22 14 13 6
1710436712.2396 31 21 9 7
1710436712.2478 37 27 6 6
1710436712.2551 43 36 6 9
1710436712.2651 54 48 11 12
1710436712.2721 68 64 14 16
1710436712.2794 83 82 15 18
1710436712.2881 98 97 15 15
1710436712.2951 115 113 17 16
1710436712.3037 134 131 19 18
1710436712.3120 155 154 21 23
1710436712.3200 178 177 23 23
1710436712.3275 201 200 23 23
1710436712.3360 226 224 25 24
1710436712.3437 251 249 25 25
1710436712.3512 278 276 27 27
1710436712.3600 304 303 26 27
1710436712.3670 330 329 26 26
1710436712.3754 357 357 27 28
1710436712.3830 384 384 27 27
1710436712.3914 411 413 27 29
1710436712.4002 438 441 27 28
1710436712.4072 466 469 28 28
1710436712.4153 494 496 28 27
1710436712.4238 519 522 25 26
1710436712.4319 546 550 27 28
1710436712.4399 574 577 28 27
1710436712.4470 602 605 28 28
1710436712.4576 630 633 28 28
1710436712.4636 657 659 27 26
1710436712.4714 685 687 28 28
1710436712.4814 709 711 24 24
1710436712.4877 737 738 28 27
1710436712.4953 766 767 29 29
1710436712.5033 791 793 25 26
1710436712.5113 817 818 26 25
1710436712.5192 844 844 27 26
1710436712.5271 871 871 27 27
1710436712.5354 899 897 28 26
1710436712.5434 926 924 27 27
1710436712.5515 953 952 27 28
1710436712.5593 981 979 28 27
1710436712.5670 1008 1006 27 27
1710436712.5750 1036 1033 28 27
1710436712.5833 1063 1061 27 28
1710436712.5913 1091 1089 28 28
1710436712.5994 1119 1118 28 29
1710436712.6073 1147 1146 28 28
1710436712.6152 1175 1174 28 28
1710436712.6232 1202 1201 27 27
1710436712.6324 1230 1229 28 28
1710436712.6399 1258 1259 28 30
1710436712.6473 1287 1288 29 29
1710436712.6553 1315 1314 28 26
1710436712.6635 1341 1340 26 26
1710436712.6715 1369 1372 28 32
1710436712.6794 1399 1403 30 31
1710436712.6900 1429 1431 30 28
1710436712.6960 1459 1457 30 26
1710436712.7050 1491 1487 32 30
1710436712.7119 1517 1513 26 26
1710436712.7200 1542 1540 25 27
1710436712.7281 1567 1567 25 27
1710436712.7360 1596 1597 29 30
1710436712.7434 1628 1628 32 31
1710436712.7514 1658 1659 30 31
1710436712.7606 1685 1686 27 27
1710436712.7676 1711 1711 26 25
1710436712.7756 1740 1740 29 29
1710436712.7833 1766 1769 26 29
1710436712.7913 1792 1797 26 28
1710436712.7992 1820 1825 28 28
1710436712.8076 1849 1851 29 26
1710436712.8155 1877 1877 28 26
1710436712.8233 1905 1905 28 28
1710436712.8320 1931 1933 26 28
1710436712.8398 1957 1960 26 27
1710436712.8477 1985 1990 28 30
1710436712.8555 2015 2020 30 30
1710436712.8634 2044 2046 29 26
1710436712.8713 2071 2070 27 24
1710436712.8793 2097 2096 26 26
1710436712.8880 2124 2124 27 28
1710436712.8956 2153 2152 29 28
1710436712.9049 2183 2181 30 29
1710436712.9118 2211 2209 28 28
1710436712.9196 2240 2236 29 27
1710436712.9276 2266 2262 26 26
1710436712.9351 2292 2289 26 27
1710436712.9437 2319 2316 27 27
1710436712.9510 2346 2343 27 27
