% Edge sensor logfile normalized 'log_20240315_004104.987/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1710459665.6013 0 0 0 0 0 0 0 0  0.0000
1710459665.6088 37 40 41 40 41 35 32 33  0.0000
1710459665.6175 40 33 30 26 29 34 32 29  0.0000
1710459665.6250 37 33 34 38 27 23 25 42  0.0000
1710459665.6325 33 38 32 38 29 32 27 47  0.0000
1710459665.6410 37 40 34 26 27 32 29 27  0.0000
1710459665.6484 40 42 36 31 33 34 34 49  0.0000
1710459665.6575 31 34 28 27 27 28 23 38  0.0000
1710459665.6660 17 16 12 17 10 11 12 4  0.0000
1710459665.6734 35 31 27 31 20 25 25 22  0.0000
1710459665.6812 37 31 37 33 22 32 38 36  0.0000
1710459665.6898 33 34 28 26 27 30 29 27  0.0000
1710459665.6973 37 33 34 26 24 32 25 29  0.0000
1710459665.7045 24 29 34 20 33 30 31 31  0.0000
1710459665.7141 31 31 39 31 31 30 27 29  0.0000
1710459665.7204 44 33 30 34 34 23 31 47  0.0000
1710459665.7291 33 29 28 43 38 37 27 31  0.0000
1710459665.7379 26 16 19 19 15 25 27 27  0.0000
1710459665.7454 29 31 30 24 33 22 16 20  0.0000
1710459665.7524 37 29 36 34 29 22 23 24  0.0000
1710459665.7612 44 34 30 33 33 25 42 36  0.0000
1710459665.7687 60 53 48 36 45 45 31 49  0.0000
1710459665.7774 24 9 23 34 27 20 21 33  0.0000
1710459665.7850 26 31 32 26 22 35 25 36  0.0000
1710459665.7934 42 42 50 33 48 42 42 27  0.0000
1710459665.8010 17 23 27 24 24 25 25 24  0.0000
1710459665.8094 4 11 18 27 13 23 3 11  0.0000
1710459665.8169 35 36 34 27 36 39 25 27  0.0000
1710459665.8245 37 40 36 38 40 34 16 27  0.0000
1710459665.8332 46 40 34 38 40 39 43 42  0.0000
1710459665.8404 49 45 37 33 55 47 49 38  0.0000
1710459665.8491 35 34 37 31 27 30 32 33  0.0000
1710459665.8576 35 33 32 27 31 34 32 33  0.0000
1710459665.8652 37 31 27 43 43 40 40 20  0.0000
1710459665.8729 29 29 19 19 27 28 18 29  0.0000
1710459665.8816 37 34 32 34 38 34 32 24  0.0000
