                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99344,                 1.5873,                 1.1805,                 0.6871,                0.65901,                0.64752,                0.43959,                 1.1127,                 2.0262,                 1.3168,             0.00066077,             0.00066077,             0.00066077
                      2,                 1.0769,                  1.242,                 1.2423,                0.73488,                0.67148,                 0.6796,                0.43192,                 1.2509,                 2.0635,                 1.5727,              0.0013222,              0.0013222,              0.0013222
                      3,                 1.1036,                 1.1292,                 1.2509,                0.71923,                 0.7256,                0.71216,                0.46744,                 1.1486,                 1.7241,                 1.3691,              0.0019783,              0.0019783,              0.0019783
                      4,                 1.0752,                 0.9994,                 1.2273,                0.71486,                0.73708,                0.71716,                0.45097,                 1.2441,                 1.7306,                 1.3656,              0.0019762,              0.0019762,              0.0019762
                      5,                 1.0488,                0.94212,                 1.2195,                0.72156,                0.67853,                0.69181,                0.46511,                 1.1404,                 1.2847,                 1.3276,              0.0019762,              0.0019762,              0.0019762
                      6,                 1.0247,                0.89392,                 1.2134,                0.82766,                0.81515,                0.82898,                0.58956,                  1.021,                0.85684,                 1.1866,              0.0019683,              0.0019683,              0.0019683
                      7,                 1.0118,                 0.8607,                 1.1962,                0.81287,                0.78302,                0.81596,                0.58051,                 1.0145,                0.91232,                 1.2378,              0.0019604,              0.0019604,              0.0019604
                      8,                0.96898,                0.80799,                 1.1762,                0.85235,                0.84386,                0.85544,                0.62198,                0.94987,                0.74831,                 1.1614,              0.0019525,              0.0019525,              0.0019525
                      9,                0.96453,                0.77866,                 1.1849,                0.84318,                 0.8457,                0.84845,                0.63832,                 0.9169,                0.81649,                 1.1478,              0.0019446,              0.0019446,              0.0019446
                     10,                0.95837,                0.77916,                 1.1774,                0.82884,                0.85061,                0.87083,                  0.655,                0.91815,                0.71953,                 1.1316,              0.0019366,              0.0019366,              0.0019366
                     11,                0.94453,                0.75541,                 1.1643,                0.88378,                0.82319,                0.87539,                0.66852,                0.92655,                0.71029,                 1.1228,              0.0019287,              0.0019287,              0.0019287
                     12,                0.93681,                0.75588,                 1.1545,                0.85552,                0.87022,                0.87684,                 0.6631,                0.89135,                0.69184,                 1.1227,              0.0019208,              0.0019208,              0.0019208
                     13,                0.93773,                0.71774,                 1.1538,                0.86192,                0.84386,                0.86965,                0.65711,                0.88748,                0.74729,                  1.126,              0.0019129,              0.0019129,              0.0019129
                     14,                0.92953,                0.71921,                 1.1585,                0.87724,                0.83682,                0.88708,                0.67457,                0.86682,                0.63676,                 1.1019,               0.001905,               0.001905,               0.001905
                     15,                0.90218,                0.67379,                 1.1361,                0.88473,                0.87026,                0.89002,                0.67671,                0.87642,                0.61043,                 1.1039,               0.001897,               0.001897,               0.001897
                     16,                0.91576,                0.66393,                 1.1391,                0.86753,                0.87216,                0.89365,                 0.6821,                0.85138,                0.60614,                 1.0929,              0.0018891,              0.0018891,              0.0018891
                     17,                0.87525,                0.63562,                 1.1215,                0.85862,                0.86682,                 0.8902,                0.68344,                0.84975,                0.65249,                 1.0734,              0.0018812,              0.0018812,              0.0018812
                     18,                   0.88,                0.65336,                 1.1211,                0.84685,                0.88246,                 0.8868,                0.68807,                 0.8479,                0.61661,                 1.0904,              0.0018733,              0.0018733,              0.0018733
                     19,                0.88511,                0.64305,                 1.1276,                0.88959,                0.86952,                0.90892,                0.70054,                 0.8484,                0.57533,                 1.0927,              0.0018654,              0.0018654,              0.0018654
                     20,                0.86873,                0.63834,                 1.1142,                0.87531,                0.87371,                0.89095,                0.68519,                0.84581,                0.63305,                 1.0839,              0.0018574,              0.0018574,              0.0018574
                     21,                0.88307,                0.64893,                 1.1182,                0.85607,                0.88776,                0.88692,                0.68642,                0.85805,                0.57987,                 1.1048,              0.0018495,              0.0018495,              0.0018495
                     22,                0.86719,                 0.6259,                 1.1215,                0.87823,                0.86942,                 0.9033,                0.70439,                0.83102,                0.62056,                 1.0808,              0.0018416,              0.0018416,              0.0018416
                     23,                0.87342,                 0.6206,                 1.1142,                0.87361,                 0.8496,                0.90068,                0.69894,                0.83267,                0.58439,                 1.0752,              0.0018337,              0.0018337,              0.0018337
                     24,                0.85982,                0.61505,                 1.1051,                0.86767,                  0.876,                0.90821,                0.70858,                0.79557,                0.54574,                 1.0529,              0.0018258,              0.0018258,              0.0018258
                     25,                0.84052,                0.58735,                  1.094,                 0.8784,                0.88741,                0.91183,                0.70238,                 0.8409,                0.53408,                   1.09,              0.0018178,              0.0018178,              0.0018178
                     26,                0.83932,                0.58882,                 1.1032,                0.86968,                0.86577,                0.90524,                0.70801,                0.81009,                0.56671,                 1.0505,              0.0018099,              0.0018099,              0.0018099
                     27,                  0.849,                 0.6148,                 1.1019,                0.89899,                0.87945,                0.91153,                0.71339,                0.81366,                0.56346,                 1.0653,               0.001802,               0.001802,               0.001802
                     28,                0.83871,                0.57559,                 1.0909,                0.89114,                0.85419,                0.89906,                0.69834,                0.85402,                0.57054,                 1.0732,              0.0017941,              0.0017941,              0.0017941
                     29,                0.84159,                0.57667,                 1.0963,                0.87506,                0.88749,                0.90299,                    0.7,                0.83106,                0.53841,                 1.0858,              0.0017862,              0.0017862,              0.0017862
                     30,                0.81579,                0.57368,                 1.0855,                0.89011,                0.85419,                0.91507,                0.71214,                0.82248,                 0.5602,                 1.0696,              0.0017782,              0.0017782,              0.0017782
                     31,                0.81648,                0.56785,                 1.0873,                0.88131,                0.87807,                 0.9136,                0.71797,                0.82001,                0.53277,                 1.0535,              0.0017703,              0.0017703,              0.0017703
                     32,                0.83159,                 0.5814,                 1.0872,                 0.8767,                0.88165,                0.92161,                0.70963,                0.83221,                0.55746,                   1.07,              0.0017624,              0.0017624,              0.0017624
                     33,                0.82348,                0.57864,                  1.095,                0.89365,                0.88754,                0.92351,                0.71544,                0.83124,                0.52056,                 1.0718,              0.0017545,              0.0017545,              0.0017545
