                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99344,                 1.5873,                 1.1805,                 0.6871,                0.65901,                0.64752,                0.43959,                 1.1127,                 2.0262,                 1.3168,             0.00066077,             0.00066077,             0.00066077
                      2,                 1.0698,                 1.2327,                 1.2373,                0.75811,                0.72905,                0.73064,                0.48831,                 1.1849,                 1.7105,                 1.4717,              0.0013012,              0.0013012,              0.0013012
                      3,                 1.0882,                 1.0866,                 1.2426,                0.80981,                0.77727,                0.77997,                0.53226,                 1.0936,                 1.4051,                 1.3039,              0.0019151,              0.0019151,              0.0019151
                      4,                 1.0936,                 1.0102,                 1.2347,                0.75459,                0.73708,                 0.7423,                0.51873,                 1.0611,                 1.8032,                 1.2446,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.0575,                 0.9311,                 1.2231,                0.78273,                0.76518,                 0.7651,                0.51742,                 1.1216,                  1.094,                  1.322,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.0238,                0.88017,                   1.21,                0.85632,                0.80745,                0.84689,                0.61988,                 1.0096,                0.87076,                 1.2049,              0.0018416,              0.0018416,              0.0018416
                      7,                0.97771,                0.81288,                 1.1737,                0.83991,                0.81922,                0.82244,                0.59252,                0.95949,                0.82914,                 1.1782,               0.001802,               0.001802,               0.001802
                      8,                0.95908,                0.79262,                 1.1662,                0.84461,                0.87715,                0.87052,                0.64443,                0.89418,                0.72495,                 1.1391,              0.0017624,              0.0017624,              0.0017624
                      9,                0.95248,                0.75596,                 1.1708,                0.81796,                 0.8615,                0.83957,                0.62401,                0.92729,                0.74823,                 1.1553,              0.0017228,              0.0017228,              0.0017228
                     10,                0.97447,                0.77659,                 1.1837,                0.87087,                0.83582,                0.86892,                0.64953,                0.92027,                0.70042,                 1.1377,              0.0016832,              0.0016832,              0.0016832
                     11,                0.94213,                0.74235,                 1.1524,                0.87144,                0.84156,                 0.8719,                0.66124,                0.89747,                0.69442,                 1.1198,              0.0016436,              0.0016436,              0.0016436
                     12,                0.92949,                0.72386,                 1.1425,                0.87981,                0.82366,                0.85323,                 0.6267,                0.93704,                0.75542,                 1.1711,               0.001604,               0.001604,               0.001604
                     13,                0.90408,                0.68336,                  1.132,                0.87773,                0.85189,                0.89077,                 0.6628,                0.90792,                0.73293,                 1.1355,              0.0015644,              0.0015644,              0.0015644
                     14,                0.89874,                 0.6861,                 1.1336,                0.85327,                0.87466,                0.89037,                0.67688,                0.86185,                0.61244,                 1.1039,              0.0015248,              0.0015248,              0.0015248
                     15,                0.87582,                0.63954,                 1.1163,                0.86528,                0.88488,                0.88859,                0.67257,                0.87792,                0.62299,                 1.1132,              0.0014852,              0.0014852,              0.0014852
                     16,                0.87892,                0.64075,                  1.121,                0.87888,                0.87256,                   0.88,                 0.6785,                0.82978,                0.58416,                  1.075,              0.0014456,              0.0014456,              0.0014456
                     17,                0.85073,                0.61154,                 1.1108,                 0.8998,                0.84546,                0.90371,                0.68692,                 0.8531,                0.57635,                 1.0824,               0.001406,               0.001406,               0.001406
                     18,                0.84835,                0.62056,                 1.1061,                 0.8798,                0.89081,                0.91398,                  0.708,                0.83382,                0.54651,                 1.0835,              0.0013664,              0.0013664,              0.0013664
                     19,                0.86465,                0.60671,                 1.1164,                 0.8955,                0.88863,                0.91651,                0.70114,                0.83299,                0.56567,                 1.0819,              0.0013268,              0.0013268,              0.0013268
                     20,                0.84621,                0.61066,                 1.1013,                0.90935,                0.86108,                0.92068,                0.71113,                0.81133,                0.53974,                 1.0581,              0.0012872,              0.0012872,              0.0012872
                     21,                0.85951,                0.60684,                 1.1034,                0.86554,                0.88686,                0.89876,                0.69643,                0.83051,                0.55013,                 1.0699,              0.0012476,              0.0012476,              0.0012476
                     22,                0.83086,                0.58549,                 1.0999,                0.89128,                0.87256,                0.90609,                0.71468,                0.80024,                0.55107,                 1.0667,               0.001208,               0.001208,               0.001208
                     23,                0.83421,                0.57325,                 1.0938,                0.87377,                0.87422,                0.90329,                 0.7118,                0.81134,                0.55736,                 1.0689,              0.0011684,              0.0011684,              0.0011684
                     24,                0.83087,                0.56469,                  1.086,                 0.8618,                0.89323,                0.91267,                0.71755,                0.80621,                0.52819,                 1.0632,              0.0011288,              0.0011288,              0.0011288
                     25,                0.80757,                0.53542,                 1.0808,                0.91143,                0.88615,                0.93022,                0.72931,                0.81412,                0.50997,                  1.065,              0.0010892,              0.0010892,              0.0010892
                     26,                0.80035,                0.54989,                 1.0824,                0.87173,                0.89437,                 0.9178,                0.73337,                0.77448,                0.50562,                 1.0382,              0.0010496,              0.0010496,              0.0010496
                     27,                0.80258,                0.55523,                 1.0773,                 0.8878,                0.88124,                 0.9209,                 0.7247,                0.79529,                0.50569,                  1.046,                0.00101,                0.00101,                0.00101
